a;x;time_ms;y_result
5;1013;0,067800;14191202937818413784770777479512353408047126121704201979614810165241496791671498412630952779604979978486359804164789486167256056529575980987391045091781303714070969781599034698998313538466042156510620191136512787718031017562243184846347750981328710678401480415950866010231885923439847486480730284013314137596599080977480143915991107005075708307729428270845942354305129493005012326207701195734876454447388368447524741094035420641527374776335369195483163287202606379507618563251101370995105231050098566948930760596202279763234162952213882471671870194574951110782510132674111772567578802739528347862938449200003811573429
5;10007;0,138000;18522466880765107747027331884552652682328064867294789183250283033725303249614559524680323586118965604515599313012866554728847744206898074263883678674706193746389023826679475274739684803226260188868131287946868882784106395085648552350560751151213463485074165611520594038878599125458437338878907298935653362662630132427750896138952808608308260930067932904257157626233535509521107302643245632851286606261345157215534623721223630027719251653504021007567056403202658401063602783847350993223456116664359024661478586418773626451003119774804885349103601821198247512701665122086830667630561039554556470471522882633891096165226
5;100003;0,201100;5121794961966412465674358491087785133187711113820723325653067653899859379764553604668479214887028317103315399905115628140866965467744000696475987261261271043923748201790504200395883980313674877413368800028918371875565742287633458325917516687256491463538500857311221844334903305823136812399564470984812386724141551541872588915656362889475964084060371256848131710036068438515986264678280782040000060455800905013337055266759660451553544915197994356408549979011704769557878830686302478673337557226490679453205553222173159891892974696432635467150573429868237101035156547346610900365248509656370764947508596567025739546390
5;1000003;0,300400;5214869418717436051459151562685136126581356356977726264616138194788319410184423555185220020502766978129517620992023261581864606782066353173692450831907058682994585659113917314677501512665300955642401592842474836698670909812507756613211509748731273653208207221564102294364318712609678445821908801791266099123873715997347614480066415577026648230044022147060198933822152225086396221506380138903483581097885911248613594909630991243419581543343606464288107582015792106224564017800167224869249779280781393172610378137057986239229589394092726851633007227050854236924246713824616912361615722468259266548250451404084884387522
5;10000019;0,377800;2634242214471825467287106651153600902733266199914092845309039991261718119011785258586401649391174451965477012774038162235375304579653080022178903841508504440602479369084027219603820113005398094820365174181152581881749849861321680447843380191262989686276645533947355063783388473537168168881328238399127468586081637670544358249632886055871681506894372440196778380749110238412964829369336408842067043231416497165241940987492532069952523933555504444693994680606256972380864955959158801713935511431176116610030967893348322684187841066359406513428482726195712171149483487974671147958834145422788895943289618727647047189311
15;1013;0,060800;11488951533009777783277298498765939537653981201494962253871172239524228551061884220431370016793617286710383099778297700247769548049068594572301418945601529632642389138831536608627392660526824633559187937522784659879568047484612062075636330092333277401813767868340513012926311962655181212689102453132276852088117446410167482626425082561902971451248805345754367374500519652989568604704725590359349258582512528524647366165331397787936828966175295865902665706037916055437245446772150611120048544973463693278685487952622545733131463402515460304537177558749299288736337842045570232688164614025386148696876586693415478249392
15;10007;0,161600;11530161928231186805440017946008017270853904201140723984120056504591116236682929891082657472052664315416125835517613134037612836782509487847897404974372628153433736733541436650282258958502399447534341418778651482753643628956045548059167570204126765199296633404802692176850051777846972710330126623771344108926695921823988547941344595610153309748831959556884686626133203715590822710418792899066766122958101516423768539788603890444744101962047810824654958769547587555000217022567694544476357347173057601473769924548532909727715512752404648099588730497524538041300836628391937692506555181257404735302724758861740350139136
15;100003;0,211400;10503650573380789490129834888846881336829095630933454189475380436046918417212332509005849891246376094874189916066465433310634478259323912459197079278178843813079414072071054093885784718212868055671874122470876809427404425185937960858741443585172937064172129188091111110662722857213950667431701606835749762861217515279967394255877788101330330031754487015125186523220131181247586754471299267019777896870468157660208995055817486442262329218005821817263077257912978391594270666687672905803391234953717740111541476261542907769457522503594506695828422971650790620461293873650414245869840089145848222849151422990039477897782
15;1000003;0,311900;18388566328502398111924096195638558014216466154725871937715829397853177344759005696381164590198231624176090168843638745940966041544491093263875035530475811135728342263135244993320143112911833721584947088079069165514551875690224638900266578273636069298365077572801336396467330674548522150643566418994760302848454668524670842002721017364403287415794141536883253430387801607286701078079311065020813953607915097947639737461998289914813034643811255906822687882366394185900437923465105192136064738640262558181678374132159868569382650350051430980130361248461579600143250296815404017004410733825331366481653341697516065260865
15;10000019;0,399400;12195965579401218355304847025754902818856082402321840452078445561426059059303253459627280022821051303744729210251504830546290187665658187883249025355009368624479791957327257096611864421281312862414707522232023868682596630990947248716983158399769249516266510800181755731067365034167197930355862764165373378508963707359835149714654517611376465390736210526475725221054898877033261896053496140151208092471075240357535345235618051684290004452270373682653584793125468098330559934556511573767694224318356442492083848160759518699215145302976318259873090003766902455898820659613129424329138024569455508678616082788770443144963
25;1013;0,084100;4952352478312156900096013681888584754176733476041754145342292663735981705950983001449413346058249146810493352141426724547046829334227816086496340050898988255422211371606306832168821766957316167329044589513290684731652921373035119176615264165543123580614012870147838557195715635689242846671692257210941613703136467102995202074099821758264020581987381561281467709697827759454582605893898276758008398690530744077844467841070639177409733454778768548604558212916502094902893935309768230938457732494297386807059118390754174304404708893200293045574465943379928035152953828739349269191950491558889203282914985109632060786717
25;10007;0,166200;3136298089709200410444853449603427811949543467478716630299570218574821781642189926906059468903781534561341948125260802772793140634387211039283824568722575881193247058797723376912244425920990306676589861931121830764417363208268171608652924704155021272815667664895161403779214366442782167925427441373143636584614812247537714435053236838493115881361212674819823348240816569857786304687148040444476353734422590486949666804877825522951329822391175961423589417038837292418540854917931780773878655789088579241393066413792322743241747714721064706071920553746965566813715249671300766649571621761609735036207815349690678852469
25;100003;0,229000;14058149636799517991255078746803651453314854191087448194530099293351510273946118689899715991747680715527156683958337597071978755139252212280890032956160863299531967300452940030974601533929112801425088528921599049600464809203112328338924854017611750119885315183833258212121014028923953631089440679071944359487724280654813449462367635480831851425062736487279508421534263915443460495216073915402263366738856491221875836899138528190705600070423994074977951354631473880895979271946432955933737659771613895731125659476980898553029438090086871372688466795128026782532348274718649821995122730379215183237497372281783193112646
25;1000003;0,324800;10306553351738228569879461991884727252549745802384238209899077411671042934632277739829817511198418818212351479752413314202609032082628862138903865936580922014809403797009262040632008451546537584483129608177290648547616407524046248901106264953793185019255065195123813877497324732582195717435438243943425089232169842015082615315712559352032472256694073089224342795417599113996874840269865003250054111277185063158863771970561382582365101101986911169065185201908213730394635084967552790479492154218221289693006608400914544362797490941873357057655996357986378920459985106655775867206613351159815999923978203466860370198116
25;10000019;0,392200;12793839352481636401855623936208195333256595474808675925214385087596813034451066523466979039990328946641473583717239670136205670383656326383594634054851346777652398594419963722832849986220050512454245294951077548766231555034037800431499552328140366525303394460967212004895531761946278499769597792828653616653898629735729242347009686882331314346206568203742746053512131250474084185221521074864064873854543337805817513016678515683826171819414831054160244877680480550818347166803405894241479419236710122755952473213102370161175506506964106228830564637223817864874356934752445832480175922485525668617323859729383102580876
35;1013;0,072300;4052101761052216893057784190889569417554719324797878370510268866327916996972360029772800010729127265936675084456825075378654961574641189595740312859296779023148416651598607970882831528176172068244436863449513426515819055356254021382488765792104340853569657373612218796384464984866481567936664068445679396304566755237349741378576679887176500377071009200133941278954036610911417503569815456805232809551946491767134367617754748103192548709956379091002434199196151081296477119925613655719801231557415038396349162994941614878710996365880706813436722455346818948859235501005067394849198030489982047566667979361272739731019
35;10007;0,163400;18569240472957927653757005529969036739189656168845593588201367760401553550996203486054807097603816099271820387391002809652483240578909229699914738312607552024700335821029913530819292620898155253445917814565668581122690168848568534395441807172831240614814290350206941186887067021371903021140646260612350299386935193419013919651675206710927318516415339965191985478329023569726723102468309043552241778524241618249667995142782427701057004094221389262422009642456964198485831166629424926850551752654329049607253025648875770101980987493336489831280171653866324974193959660472886180724404486170651161278795035891905088226380
