a;x;n_bits;x_value;time_ms;y_result
5;1000003;2048;1000003;0,286200;1169370949052931637734204586720612922957692661460631908838394662119654329339379494784697802693492867455106392512659572522825755318572806079871895522281346422186953891896115713783473865251728386396157658163075504688976915093232632759601758123955350288592830830527995741782811710883349635712918384516483945783292176202484915959419113696968570034593510847733289969866408102887369863558766628467880718068435021066608147842546363472541429148356589622885181023652195159703092315883775511093276325327668906244626741465677636660116934650201489919637393226105380412455686836671534862057045496993718715935736871867273318584454
5;10000019;2048;10000019;0,373800;11020438223109649990072943604892085791386674118068373824252018486628828260978833516423571168375069208264919142533080162847442951600934653815887650411924701378604761443080719707229899709676215471016285075159000583445425822949512571505203777996281105273697330802157595911793783402030139029464230944138786029671691537923515041343360052162200981904488946169277950769082970847288990893409572301315854937171679909922425870288229775262070024789466514322776305228477963039585572601291742213557142662855851666520668652647326564829922096559579181075893933688193475531139576252772798414832524171525143505807409518270362796973589
15;1013;2048;1013;0,062500;4267838975546897007727768978810314211593127991525403739594526063047801542858348127273461335300852763337297697555153702455524601597530904856894763699916834338804123917076067791224393223906650114758808225509754027069000537915051256300288435838630019812383678475741991126761586001071834184481301244770778927501135384490742352663351650726394430960665766717927306473459517593397703398765979175199567618693210790444071531194000359314268555997566396636835956663331940953522204310948844440261100624627168534707371726960779545684452487394162977114958889070738251456156577625810333609025965960560275656588364056321360528649390
15;10007;2048;10007;0,161600;18199730137290071118053093419091104986898022911003651490223172708285088656198760133775409589011543434433395867687232141808422612970417174107280126399873816411205346088379731902882499960796483542362679456543783446217145167952163399552783342443381521901151014829184727144504972614298222451846463679240065233759102142356809012211357147930096758285389546775668516399366155934277525252955249747357678872100545692735017904632192825888062206669831090145523800694452629892553694263548994008648427517117519290259158750661551206400805293759734085959417229753283118841776577817983409345764043436147916973139552513022028936515853
15;100003;2048;100003;0,218000;20008647626283029578147292065593688272848496348904820480310396898651667627269449122231958170781382251033800957388501428840519888187445631157580362602754819867740017644990547815643164688868338026926717358616546419647875845247204483161410272667177076522379115263413573545844769391885966608971586437453015909875427292109719128215436445389728098103610035215259856894357373898008779311890919021859687499759502699499013765939986089538839372191102663837278731418891271164081088756906741879891725249413681738089739360239337934342561583047579231533572291500504726736403128196746008011825321688673409055512342956441371431692987
15;1000003;2048;1000003;0,296300;7090471227400925164651586163448199631290676193351453984737224866479015380259239739113950358602169067220152645480887547057934333079112724908663491089544717404178228299368931638886536223577798263345405565920634185878227638705781124720654108160118780632268218255171626585411430206872266872924002422662224513453113721354990676666315141328453637841248239670654199258909683889540821032458853427709350686576073619942454355418354620203088051794740902840595368671859743375843296827406411210234082990556549344654178057844949961977724055264019851433738616624980799429489831738018758247604836217854060653240738913691464411653497
15;10000019;2048;10000019;0,410500;9303392515374845740499709722716913045748355439367757834828774422185866084648978944485176245962339371820554851388079082714982897446938262928893022360692475815661250533747119094764444158902580366365579685415594349147877844359080737290552377504459604398439691034552608747026497992999178600644896656721797036507431825626231979398180713872238339537361440141065365231647387558532460315332749354295219694132186647863661386408463811693712191362466694131173815372933203547624295339651913664049184312171075342728136895089105648533103125026138579754666391767948304696968285714685322746015823307964795755739209010866840608198996
25;1013;2048;1013;0,067600;11204452261530215696541647289569284445718672626993464662535662166005356411600289645549512543465790566781056640074029567525209359549966824963332496017612551554763962831592179592500838194675177755818898202150890368022481298632884159316230269778663103457800254231428903947007117199958476684432967560380129078567445406176267577071152223440844663682067508684411864171919420082356862134767044063006231259560319935292351250554577715852858096156035635838485876644441990864681607844465841018330573220461142974837780339883511547788228342803270239371197298367511436835385098032519258296248547575241801070827255254227933179289526
25;10007;2048;10007;0,162100;5316248340992253701723233299409008547201418140772568264362501630497771410252759567314351091966982930700241034023087533014470196313530801851431515372919199128659997236948832224337940265367914524516908935943290594105848898549291490563694311238103949979488998343493389890579173645637583234396200835078842606555236922260765963964706429494384380936446508888836097020768003482472055238946566732038833409932962886502025143177267663565548521530946572137354575762844159009090625535252742251650174456875267741663233005433539218344872777441101091860533208644742731140761895131369610528018666161820716675433332637837098778228767
25;100003;2048;100003;0,225700;7499067798265085524584811897837173448433311541047213704888401396742042161621772308437969292667393391997689385487433864552447000191654267562550638785979099587657051711023228401146652112766676335868275981398371863063001606906528438335992573001094399278129930098313927829934045148285738585702741911242715080339127987069694342500117365549656711815795296441900514740160188291732821583821871208088864840180001741135436190009211116788858070532708142598854207201741375798843108849704245921029080329517726028758865663969556972631350847455528296883886013818554425866711094178904501212206336663300989287210101916977056603191489
25;1000003;2048;1000003;0,309000;12764361218001330613524658778239279577588623815507152832968527517732950029242242088293907229891548034647419066604870479846061359415499408389938989453249192617517162851459087658669663832698697046360321120625759601906797736211115584016839008657073546090392852431875382490305323737059477823525256831089133198973038621280819102977337152232232060728324019140268376849305244155567313982448895722354600759770744644777718571628434201994563466733902520123033355730610042121944719022371520053178210200886017992447211682481790771179973367573358707382056973584859055797612406578112800491847084444394954036490717205347894008159362
25;10000019;2048;10000019;0,410400;18007337745499320051909331885721161946084199482334524524714133382716028531232198252672106537249313898519303029489280982466166015235553839641375745642246712476347956155036982003398623319854936799733228107587300735543755988058411971455660293076549344540066071077039161151836644864526007754913364366639648805832763463666147241663694349308104285619982230556216882907051049468314554590328254426415155564081542546670847571940462377253599870124086535437779784099474912029056131246589587390020840923661122469827378622928794497982883616586696711910107992326503023921148051698503665723050553992077653251069817938341150117477826
35;1013;2048;1013;0,072400;11431949238452501908803970471477293676680109691898637342640397131325587148136108197105701367371952731086739162085628144326581680077505088320350953512487171340222314172074588630377236651350504303413427898092299577129850704956419732722784205472924573200245578664296900827025287403959409839740652959885390258751866263985029036756353155980853241422234049659871688096785163625731824888098485643668040031682181415299213252564632004499109518803500030159019083483036844319090082510480671087948496320910907435257947765502140433306112508032722276346062006536493415499381823251353847890528924071564212268198346657446099273073017
35;10007;2048;10007;0,177000;9192059613622130288681158920878104846696541651198475568068678168780968756625290891450989863212045197487881962366055874619854977373710451499788636338636054313077408379782996216154150053201763363493378756811478539572998775731214121660781015887151712564486596844457318195239703513065322566245040755821536033244979651754676259328286226299280152590368991428983223107745579968443227431011933117574520562650068677815553369678499926539904154622689710433699961059084614423922998976443163489800255526678364377193759025385643392318307367630076316022179654448328235995242538860980013035149351486482883633205345364134936697100244
35;100003;2048;100003;0,228600;1333625665604514844496384995535101685649914233276395644938102697610424012270781244362810029361100344163435631532056309604770392665197068618514638651808068355976422139985080107355400501300761803878172472890086386420692384191164296719393548309265749403664839732942758854356462354362412455409661411111120345316424430563750038447837874345590071433104510694178183529529529888287033803556314688635419870127791847336589379908509471827715117040355626456582605483983037559779336895672827174554927906390465746559882774769142829949195230118040524681479507283080851981190334346002998193835947352575499687770970182040680507354838
35;1000003;2048;1000003;0,293100;8536701491233021201971836192025466469165501907674834895879250483997104593090945257977216722840838873522986725240343097845643648474084515787453825177235491767623785360891215003812073611369253455870912423127594623426792719334173880375686053225126130090373297864660368328161574246981654509600991077481488619092718294805614628071107090570449198241960138750003735057412430076871986171471164677589155908039941301409526429525923027407808276026880397409440986291551781741545852983925025289289816981037448915335054750310755770434830968153584549002383553723841667803287152126261946619933575709073506700290614395254357562533629
35;10000019;2048;10000019;0,413500;15019916600414477241324022849236876377350980357823540699446097825155965947538907936244540770906196308547129288432079825490449245619490426966927693231298097563875270971388021429891182593692963219959372853022850413327246556856620264733717566122501132341644620768867753321055089022885639392575669047843764870472679559181705492994296629246142231681432879608364213685233804342556825085810460700871941446903921679322260334783482296711765179148405466030294195461500567667431169373339110777756652120518615099526027638012349215124993200791512441495340712933087621057791078758732423205401242035565275118845506409181004541553136
