Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Model Name,Dial Shape,Strap Color,Strap Material,Battery Life (Days),Display Size,Brand_Label,Touchscreen_No,Touchscreen_Unknown,Touchscreen_Yes,Bluetooth_No,Bluetooth_Yes,Model_Name_Label
0.8235294117647058,0.9263798122118903,0.9313162100094189,0.08443023150437783,0.75,0.00010337102607049582,0.8328912466843501,1.0,0.9333333333333333,1.0,0.3411764705882353,1.0,0.8235294117647058,0.0,1.0,0.0,0.0,1.0,0.8328912466843501
0.3529411764705882,0.02944807511524391,0.1598035791768528,0.8532670111194948,0.825,0.03357458623324057,0.03978779840848806,1.0,0.9333333333333333,0.7333333333333333,0.12941176470588234,0.40540540540540543,0.3529411764705882,0.0,0.0,1.0,0.0,1.0,0.03978779840848806
0.1764705882352941,0.009060946189305818,0.06446116561365632,0.8239224428921181,0.7,0.03508638748952157,0.7904509283819628,1.0,0.9333333333333333,0.7333333333333333,0.3411764705882353,0.3783783783783784,0.1764705882352941,0.0,0.0,1.0,0.0,1.0,0.7904509283819628
0.3529411764705882,0.006795709641979366,0.1915526346424527,0.9999999999999999,0.825,0.021389726535180877,0.04509283819628647,1.0,0.9333333333333333,0.7333333333333333,0.12941176470588234,0.40540540540540543,0.3529411764705882,0.0,0.0,1.0,0.0,1.0,0.04509283819628647
0.8235294117647058,0.004530473094652911,0.03280735731445322,0.7473564193703246,0.7749999999999999,0.02245089472468581,0.8461538461538461,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.3783783783783784,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.8461538461538461
0.8235294117647058,0.0033978548209896813,0.022224338825919926,0.6869401277423952,0.75,0.05282097914974101,0.4376657824933687,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.3783783783783784,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.4376657824933687
0.8235294117647058,0.009060946189305818,0.03280735731445322,0.6594282052446097,0.7749999999999999,0.0016426302111514726,0.5676392572944297,1.0,0.9333333333333333,1.0,0.38823529411764707,0.2972972972972973,0.8235294117647058,0.0,1.0,0.0,0.0,1.0,0.5676392572944297
0.8235294117647058,0.006795709641979366,0.022224338825919926,0.6045033043207264,0.75,0.05282097914974101,0.986737400530504,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.3783783783783784,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.986737400530504
0.8235294117647058,0.009060946189305818,0.04868188504725317,0.7608487123041399,0.7749999999999999,0.0637637713626724,0.8541114058355437,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.40540540540540543,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.8541114058355437
0.8235294117647058,0.009060946189305818,0.04339037580298652,0.7326772884472252,0.7749999999999999,0.0637637713626724,0.8514588859416445,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.40540540540540543,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.8514588859416445
0.8235294117647058,0.009060946189305818,0.04339037580298652,0.7326772884472252,0.7749999999999999,0.01415536988252852,0.8408488063660478,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.43243243243243246,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.8408488063660478
0.8235294117647058,0.006795709641979366,0.022224338825919926,0.6045033043207264,0.75,0.05282097914974101,0.9840848806366047,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.3783783783783784,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.9840848806366047
0.8235294117647058,0.02944807511524391,0.06455641278005313,0.5769522219235944,0.7,0.0008786537215992144,0.8302387267904509,1.0,0.9333333333333333,1.0,0.3411764705882353,1.0,0.8235294117647058,0.0,1.0,0.0,0.0,1.0,0.8302387267904509
0.8235294117647058,0.02605022029425423,0.04339037580298652,0.4579107800314069,0.7,0.0004522482390584192,0.8567639257294429,1.0,0.9333333333333333,1.0,0.3411764705882353,1.0,0.8235294117647058,0.0,1.0,0.0,0.0,1.0,0.8567639257294429
0.8235294117647058,0.009060946189305818,0.04339037580298652,0.7326772884472252,0.7749999999999999,0.014665764323751595,1.0,1.0,0.9333333333333333,0.4666666666666667,0.6047058823529412,0.40540540540540543,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,1.0
0.8235294117647058,0.0033978548209896813,0.03280735731445322,0.7693384729017534,0.75,0.15033054500758325,0.9893899204244031,1.0,0.9333333333333333,0.6,0.1341176470588235,0.2702702702702703,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.9893899204244031
0.8235294117647058,0.006795709641979366,0.03280735731445322,0.7033923123074671,0.7749999999999999,0.02245089472468581,0.8488063660477453,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.3783783783783784,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.8488063660477453
0.8235294117647058,0.009060946189305818,0.04339037580298652,0.7326772884472252,0.7749999999999999,0.01415536988252852,0.8435013262599469,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.43243243243243246,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.8435013262599469
0.8235294117647058,0.009060946189305818,0.04339037580298652,0.7326772884472252,0.7749999999999999,0.014665764323751595,0.9973474801061007,1.0,0.9333333333333333,0.4666666666666667,0.6047058823529412,0.40540540540540543,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.9973474801061007
0.8235294117647058,0.006795709641979366,0.022224338825919926,0.6045033043207264,0.75,0.05282097914974101,0.9787798408488063,1.0,0.9333333333333333,0.4666666666666667,0.3411764705882353,0.3783783783783784,0.8235294117647058,0.0,0.0,1.0,0.0,1.0,0.9787798408488063
