label;symbol;count;frequency_percent
AAA;A;3;2.3438
AAA;B;2;1.5625
AAA;C;6;4.6875
AAA;D;3;2.3438
AAA;E;6;4.6875
AAA;F;5;3.9062
AAA;G;4;3.1250
AAA;H;2;1.5625
AAA;I;3;2.3438
AAA;J;4;3.1250
AAA;K;7;5.4688
AAA;L;2;1.5625
AAA;M;6;4.6875
AAA;N;8;6.2500
AAA;O;8;6.2500
AAA;P;8;6.2500
AAA;Q;5;3.9062
AAA;R;3;2.3438
AAA;S;9;7.0312
AAA;T;8;6.2500
AAA;U;6;4.6875
AAA;V;2;1.5625
AAA;W;3;2.3438
AAA;X;4;3.1250
AAA;Y;8;6.2500
AAA;Z;3;2.3438
